Ваш возраст;Ваш Пол;На каком вы курсе;Ваше отношение к учебе :;Есть ли у вас хобби, и если есть то какое ?;Укажите ваше среднее экранное время в часах(!) в рабочие дни :;Укажите ваше среднее экранное время в часах(!) по выходным :;работаете ли вы ?;Считаете ли вы себя зависимым от гаджетов ?;Занимаетесь ли вы спортом?;"""Спортивный"" ли вы человек ?";Каким гаджетом вы пользуетесь чаще всего ?;Какими категориями приложений вы пользуетесь чаще всего?;Отвлекают ли вас уведомления от дел?;"Пользуетесь ли вы режимом ""не беспокоить""?";Ведете ли вы конспекты в тетрадях?;Ведете ли вы конспекты в планшетах/ноутбуке?;Много ли у вас свободного времени?;Общительный ли вы человек ?;Часто ли вы смотрите контент связанный с учебой?;Часто ли вы смотрите развлекательный контент ?;Каков ваш средний балл?;Ваше место учебы?;Как часто вы берете с собой в вуз зарядку или повербанк?;"Спустя какое время, после того как вы отвлеклись вы возвращаетесь к делам?
Напишите примерное время в минутах"
20;М;2 спец;6;-;6;5;да;9;да;6;Телефон;Соцсети, Видеохостинг, Музыка, Игры;3;3;2;5;2;6;2;8;4.0-4.5;МГУ;7;8
19;М;1 спец;8;-;8;4;да;7;да;4;Телефон;Соцсети, Видеохостинг, Музыка, Игры;4;2;7;2;5;78;5;8;4.5-5.0;МГУ;8;5
18;Ж;1 спец;5;-;9;9;да;7;да;3;Телефон;Соцсети, Видеохостинг, Музыка, Игры;8;6;9;5;2;6;1;8;4.5-5.0;МГУ;9;3
22;М;3 спец;9;-;5;4;да;8;да;6;Телефон;Соцсети, Видеохостинг, Музыка, Игры;5;2;9;2;4;5;3;7;4.0-4.5;МГУ;6;4
21;М;2 маг;5;-;8;9;нет;7;да;3;Телефон;Соцсети, Видеохостинг, Музыка, Игры;4;5;4;7;5;7;1;7;3.0-3.5;МГУ;8;7
23;Ж;1 маг ;6;-;6;12;нет;7;да;5;Телефон;Соцсети, Видеохостинг, Музыка, Игры;5;2;7;3;3;5;1;7;4.0-4.5;МГУ;9;4
22;М;1 маг ;7;-;5;11;нет ;7;да;3;Телефон;Соцсети, Видеохостинг, Музыка, Игры;8;5;4;2;2;7;1;7;3.0-3.5;МГУ;6;10
20;М;2 спец;4;-;9;9;нет;7;да;6;Телефон;Соцсети, Видеохостинг, Музыка, Игры;8;2;5;4;5;8;1;9;4.5-5.0;МГУ;2;14
19;М;1 спец;5;-;9;7;нет;7;нет;7;Телефон;Соцсети, Видеохостинг, Музыка, Игры;4;5;4;1;3;6;4;7;4.0-4.5;МГУ;1;15
19;М;1 спец;5;-;9;6;нет;9;нет;2;Телефон;Соцсети, Видеохостинг, Музыка, Игры;6;2;6;2;2;8;3;6;4.5-5.0;МГУ;5;10
18;М;1 спец;6;-;5;3;да;8;нет;2;Телефон;Соцсети, Видеохостинг, Музыка, Игры;9;5;8;1;4;7;1;8;4.0-4.5;МГУ;6;10
23;М;1 спец;8;-;7;3;да;9;нет;2;Телефон;Соцсети, Видеохостинг, Музыка, Игры;4;3;4;1;1;7;2;6;;МГУ;3;10
20;М;3 спец;8;-;8;3;нет;4;да;9;Телефон;Соцсети, Видеохостинг, Музыка, Игры;9;4;9;9;2;9;3;5;4.0-4.5;МГУ;7;10
;;;;НАМ ПОХУЙ;;;;;;;;;;;;;;;;;;;;
